Year,Gebietseinheit,Kategorie,Units,GeoCode,Value
2005,Braunschweig  Stadt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03101,0.179799651816547
2005,Salzgitter  Stadt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03102,0.165234019642426
2005,Wolfsburg  Stadt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03103,0.152641523444913
2005,Gifhorn,Anteil an allen Einwohnerinnen und Einwohnern,%,K03151,0.10097091809376
2005,Goslar,Anteil an allen Einwohnerinnen und Einwohnern,%,K03153,0.120170086892217
2005,Helmstedt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03154,4.09211347430664E-02
2005,Northeim,Anteil an allen Einwohnerinnen und Einwohnern,%,K03155,7.70331992637535E-02
2005,Peine,Anteil an allen Einwohnerinnen und Einwohnern,%,K03157,0.16049813866742
2005,Wolfenbüttel,Anteil an allen Einwohnerinnen und Einwohnern,%,K03158,0.114660762296378
2005,Göttingen,Anteil an allen Einwohnerinnen und Einwohnern,%,K03159,0.122932401675824
2005,Statistische Region Braunschweig,Anteil an allen Einwohnerinnen und Einwohnern,%,K031,0.127299772484224
2005,Hannover  Region,Anteil an allen Einwohnerinnen und Einwohnern,%,K03241,0.248993613889768
2005,dav. Hannover  Lhst.,Anteil an allen Einwohnerinnen und Einwohnern,%,K03241001,0.311209957167427
2005,dav. Hannover  Umland,Anteil an allen Einwohnerinnen und Einwohnern,%,K03241999,0.19663388891246
2005,Diepholz,Anteil an allen Einwohnerinnen und Einwohnern,%,K03251,0.121086718503535
2005,Hameln-Pyrmont,Anteil an allen Einwohnerinnen und Einwohnern,%,K03252,0.192692692692693
2005,Hildesheim,Anteil an allen Einwohnerinnen und Einwohnern,%,K03254,0.192332173835255
2005,Holzminden,Anteil an allen Einwohnerinnen und Einwohnern,%,K03255,7.44372288816448E-02
2005,Nienburg (Weser),Anteil an allen Einwohnerinnen und Einwohnern,%,K03256,0.154127274171765
2005,Schaumburg,Anteil an allen Einwohnerinnen und Einwohnern,%,K03257,0.139528983975308
2005,Statistische Region Hannover,Anteil an allen Einwohnerinnen und Einwohnern,%,K032,0.204305244327537
2005,Celle,Anteil an allen Einwohnerinnen und Einwohnern,%,K03351,0.117296266251562
2005,Cuxhaven,Anteil an allen Einwohnerinnen und Einwohnern,%,K03352,8.96354176815604E-02
2005,Harburg,Anteil an allen Einwohnerinnen und Einwohnern,%,K03353,0.124469145298085
2005,Lüchow-Dannenberg,Anteil an allen Einwohnerinnen und Einwohnern,%,K03354,9.73671911512697E-03
2005,Lüneburg,Anteil an allen Einwohnerinnen und Einwohnern,%,K03355,0.112288461648075
2005,Osterholz,Anteil an allen Einwohnerinnen und Einwohnern,%,K03356,5.23323369492908E-02
2005,Rotenburg (Wümme),Anteil an allen Einwohnerinnen und Einwohnern,%,K03357,5.21607278241092E-02
2005,Heidekreis,Anteil an allen Einwohnerinnen und Einwohnern,%,K03358,0.10232831971292
2005,Stade,Anteil an allen Einwohnerinnen und Einwohnern,%,K03359,0.15167324087034
2005,Uelzen,Anteil an allen Einwohnerinnen und Einwohnern,%,K03360,5.46729936042913E-02
2005,Verden,Anteil an allen Einwohnerinnen und Einwohnern,%,K03361,0.132006801706393
2005,Statistische Region Lüneburg,Anteil an allen Einwohnerinnen und Einwohnern,%,K033,0.100931089298781
2005,Delmenhorst  Stadt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03401,0.260814584540808
2005,Emden  Stadt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03402,9.09214013502795E-02
2005,Oldenburg(Oldb)  Stadt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03403,0.154510768454577
2005,Osnabrück  Stadt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03404,0.280806280293504
2005,Wilhelmshaven  Stadt,Anteil an allen Einwohnerinnen und Einwohnern,%,K03405,0.21902527767139
2005,Ammerland,Anteil an allen Einwohnerinnen und Einwohnern,%,K03451,7.85220595214469E-02
2005,Aurich,Anteil an allen Einwohnerinnen und Einwohnern,%,K03452,0.105718252966423
2005,Cloppenburg,Anteil an allen Einwohnerinnen und Einwohnern,%,K03453,5.33275079991262E-02
2005,Emsland,Anteil an allen Einwohnerinnen und Einwohnern,%,K03454,0.05321070147829
2005,Friesland,Anteil an allen Einwohnerinnen und Einwohnern,%,K03455,7.00114384885418E-02
