Year,Kategorie,Staat,GeoCode,Value
2019,insgesamt,Albanien,121.0,6120
2019,insgesamt,Belgien,124.0,1300
2019,insgesamt,Bosnien und Herzegowina,122.0,7860
2019,insgesamt,Bulgarien,125.0,28360
2019,insgesamt,Dänemark,126.0,1450
2019,insgesamt,Estland,127.0,515
2019,insgesamt,Finnland,128.0,1050
2019,insgesamt,Frankreich,129.0,4800
2019,insgesamt,Griechenland,134.0,18815
2019,insgesamt,Irland,135.0,740
2019,insgesamt,Island,136.0,140
2019,insgesamt,Italien,137.0,28825
2019,insgesamt,Serbien u.Montenegro Ehem.Jugosla,132.0,1690
2019,insgesamt,Serbien (einschl. Kosovo),133.0,470
2019,insgesamt,Serbien,170.0,19115
2019,insgesamt,Montenegro,140.0,4405
2019,insgesamt,Kroatien,130.0,11915
2019,insgesamt,Kosovo,150.0,16475
2019,insgesamt,Lettland,139.0,5590
2019,insgesamt,Litauen,142.0,7745
2019,insgesamt,Luxemburg,143.0,240
2019,insgesamt,Malta,145.0,40
2019,insgesamt,Mazedonien,144.0,6105
2019,insgesamt,Moldau Republik,146.0,2825
2019,insgesamt,Monaco,147.0,5
2019,insgesamt,Niederlande,148.0,29865
2019,insgesamt,Norwegen,149.0,525
2019,insgesamt,Österreich,151.0,6680
2019,insgesamt,Polen,152.0,98015
2019,insgesamt,Portugal,153.0,8740
2019,insgesamt,Rumänien,154.0,58980
2019,insgesamt,Russische Föderation,160.0,22260
2019,insgesamt,Schweden,157.0,1565
2019,insgesamt,Schweiz,158.0,2385
2019,insgesamt,Slowakei,155.0,2835
2019,insgesamt,Slowenien,131.0,915
2019,insgesamt,ehem. Sowjetunion,159.0,85
2019,insgesamt,Spanien,161.0,11970
2019,insgesamt,ehem. Tschechoslowakei,162.0,90
2019,insgesamt,Tschechische Republik,164.0,2180
2019,insgesamt,Türkei,163.0,88735
2019,insgesamt,Ukraine,166.0,11345
2019,insgesamt,Ungarn,165.0,9465
2019,insgesamt,Vereinigtes Königreich GB u.Nordir,168.0,6750
2019,insgesamt,Weißrußland,169.0,2070
2019,insgesamt,Zypern,181.0,115
2019,insgesamt,übrige europäische Staaten,,5
2019,insgesamt,Europa insgesamt,,542155
2019,insgesamt,Algerien,221.0,1380
2019,insgesamt,Angola,223.0,235
2019,insgesamt,Ägypten,287.0,2095
2019,insgesamt,Äthiopien,225.0,375
2019,insgesamt,Benin,229.0,125
2019,insgesamt,Burkina Faso,258.0,100
2019,insgesamt,Cote d'Ivoire,231.0,3040
2019,insgesamt,Eritrea,224.0,3800
2019,insgesamt,Gambia,237.0,880
2019,insgesamt,Ghana,238.0,2945
2019,insgesamt,Kamerun,262.0,2005
2019,insgesamt,Kenia,243.0,665
2019,insgesamt,Liberia,247.0,645
2019,insgesamt,Marokko,252.0,2380
2019,insgesamt,Nigeria,232.0,2835
2019,insgesamt,Senegal,269.0,265
2019,insgesamt,Sierra Leone,272.0,125
2019,insgesamt,Somalia,273.0,3205
2019,insgesamt,Südafrika,263.0,515
